X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
915;202;0.5961504;0.2931624;0.5961504;0.5863248;958.5;0.192769;False;17-11-2024 16:51:59:672;1731858719672;;
972;217;0.6334486;0.3143508;0.6943481;0.7321327;969.9;0.1516496;False;17-11-2024 16:51:59:956;1731858719956;;
945;221;0.6155745;0.3210621;0.5803555;0.7316917;975.1;0.1887486;False;17-11-2024 16:52:00:268;1731858720268;;
954;194;0.6212206;0.2812333;0.6445151;0.4559313;1001.6;0.1891684;False;17-11-2024 16:52:00:584;1731858720584;;
921;237;0.6002145;0.3443688;0.5568978;0.8366961;1015.3;0.2077733;False;17-11-2024 16:52:00:902;1731858720902;;
940;236;0.6122995;0.3421515;0.642846;0.6640443;1018.9;0.1836015;False;17-11-2024 16:52:01:224;1731858721224;;
1129;240;0.7355781;0.34801;0.8284755;0.7557539;1018.9;0.2485779;False;17-11-2024 16:52:01:543;1731858721543;;
1126;235;0.7331834;0.3401487;0.7232329;0.629067;1024.6;0.2464696;False;17-11-2024 16:52:01:870;1731858721870;;
1028;246;0.6693061;0.3566987;0.597272;0.7980702;1015.4;0.2030668;False;17-11-2024 16:52:02:186;1731858722186;;
1014;219;0.6602428;0.3181416;0.613971;0.5227584;998.0;0.2961631;False;17-11-2024 16:52:02:521;1731858722521;;
785;200;0.5113994;0.2908023;0.4046911;0.451156;964.2;0.2248232;False;17-11-2024 16:52:02:829;1731858722829;;
795;224;0.5178961;0.325479;0.5355797;0.747239;922.5;0.1626221;False;17-11-2024 16:52:03:154;1731858723154;;
740;181;0.482315;0.2627792;0.4247915;0.3801056;882.6;0.1701304;False;17-11-2024 16:52:03:513;1731858723513;;
625;179;0.4075218;0.2600698;0.3203416;0.4442091;839.0;0.1725856;False;17-11-2024 16:52:03:832;1731858723832;;
674;198;0.4393501;0.2877023;0.4813899;0.6646279;802.9;0.1691828;False;17-11-2024 16:52:04:154;1731858724154;;
672;205;0.4381102;0.2975828;0.4263698;0.6776724;768.9;0.1569729;False;17-11-2024 16:52:04:459;1731858724459;;
645;275;0.4205087;0.3991927;0.373546;0.9998436;744.9;0.09178522;True;17-11-2024 16:52:04:769;1731858724769;;
724;270;0.4714225;0.3920867;0.5290188;0.747857;716.7;0.1399012;False;17-11-2024 16:52:05:97;1731858725097;;
693;270;0.4513603;0.3921092;0.410486;0.7884071;690.5;0.1853722;False;17-11-2024 16:52:05:439;1731858725439;;
742;271;0.4837181;0.3929554;0.534627;0.8117567;665.4;0.1892009;False;17-11-2024 16:52:05:739;1731858725739;;
845;271;0.5504701;0.3933887;0.6295226;0.8141259;643.6;0.1756602;False;17-11-2024 16:52:06:65;1731858726065;;
965;266;0.6287623;0.3850198;0.7199227;0.7120299;620.6;0.1907822;False;17-11-2024 16:52:06:386;1731858726386;;
779;266;0.5075246;0.3855613;0.4308467;0.7811943;602.6;0.1940478;False;17-11-2024 16:52:06:706;1731858726706;;
810;267;0.5277338;0.3864491;0.576411;0.7955276;589.7;0.1788411;False;17-11-2024 16:52:07:25;1731858727025;;
886;267;0.5769274;0.3865164;0.6536041;0.7826063;574.8;0.2027733;False;17-11-2024 16:52:07:351;1731858727351;;
817;268;0.5323574;0.3887531;0.4821434;0.8200214;565.0;0.1926512;False;17-11-2024 16:52:07:659;1731858727659;;
797;268;0.519037;0.3891253;0.4787952;0.8141492;552.9;0.173926;False;17-11-2024 16:52:07:985;1731858727985;;
771;267;0.502085;0.3876836;0.44777;0.7575299;538.5;0.1857249;False;17-11-2024 16:52:08:314;1731858728314;;
768;267;0.5003188;0.3874902;0.4902033;0.7638932;528.3;0.192119;False;17-11-2024 16:52:08:630;1731858728630;;
887;263;0.5775561;0.380855;0.6487178;0.6974373;521.8;0.2022608;False;17-11-2024 16:52:08:953;1731858728953;;
832;265;0.5419583;0.384791;0.4889772;0.8025935;514.6;0.2023059;False;17-11-2024 16:52:09:269;1731858729269;;
